phase	designMode	jmh_ops_per_sec	e2e_ops_per_sec	storage_dc0_bytes	storage_dc1_bytes	read_lat_dc0_p50_ns	read_lat_dc0_p99_ns	read_lat_dc1_p50_ns	read_lat_dc1_p99_ns	vt_mismatches	vt_missing	vt_errors	harness_start_ms	raw_log
phase0	BASELINE	138323.0	30037.7	900961598	900923026	17700	59500	19100	59600	0	0	0	13774	data/raw/phase0-baseline-v2.log
phase1	BASELINE	136305.583	30569.73	971053848	971046550	27396	63536	27598	64016	0	0	0	13600	data/raw/phase1-baseline-sanity.log
phase1	MERGE_OPERAND	133164.533	64799.87	206455493	206458951	11699	22425	11529	25202	0	0	0	13604	data/raw/phase1-merge-operand-v2.log
