t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
621	0	0	672444	669040
1621	0	0	793837	798399
2621	0	0	813406	711968
3621	0	0	881452	885441
4621	0	0	1026303	1020747
5621	0	0	1176691	1176657
6621	0	0	1311848	1314629
7621	0	0	1453360	1459038
8621	0	0	1601628	1595157
9621	0	0	1316332	1307355
10621	0	0	1008287	1014776
11621	0	0	1155144	1166784
12621	0	0	1293995	1310354
13621	0	0	1453063	1433783
14621	0	0	1586467	1592304
15621	0	0	1743258	1729426
16621	0	0	1010771	1459912
17621	0	0	1152198	1152941
18621	0	0	1077202	1063368
19621	0	0	1222191	1218593
20621	0	0	1380019	1374298
21621	0	0	1506122	1514234
22621	0	0	1632583	1673460
23621	0	0	1768046	1799697
24621	0	0	1928014	1960857
25621	0	0	1617476	1648807
26621	0	0	1306480	1346341
27621	0	0	1434864	1523557
28621	0	0	1561020	1675038
29621	0	0	1679356	1776412
30621	0	0	1809865	1912678
31621	0	0	1937751	2036130
32621	0	0	2066224	1740467
33621	0	0	1323612	1430580
34621	0	0	1441766	1551142
35621	0	0	1564161	1448777
36621	0	0	1456039	1596899
37621	0	0	1578924	1710356
38621	0	0	1712660	1839932
39621	0	0	1839896	1962166
40621	0	0	1963829	2102150
41621	0	0	2088388	2213034
42621	0	0	2208900	2322721
43621	0	0	2329319	1573785
44621	0	0	1582628	1706263
45621	0	0	1707681	1831789
46621	0	0	1834611	1954455
47621	0	0	1955317	2109136
48621	0	0	2076868	2222714
49621	0	0	2189123	2341790
50621	0	0	2304227	2030218
51621	0	0	2422054	1733703
52621	0	0	1692425	1841730
53621	0	0	1819109	1833274
54621	0	0	1823766	1823654
55621	0	0	1817978	1948886
56621	0	0	1935751	2064462
57621	0	0	2051116	2182729
58621	0	0	2163861	2295731
59621	0	0	2290616	2409330
60621	0	0	2401882	2514720
61621	0	0	2515526	2631787
62621	0	0	2650811	1956035
63621	0	0	1943462	2064083
64621	0	0	2056521	2180224
65621	0	0	2165908	2281630
66621	0	0	2273874	2394968
67621	0	0	2381022	2502017
68621	0	0	2491932	2605943
69621	0	0	2606217	2704027
70621	0	0	2710913	2000075
71621	0	0	1999083	2106866
72621	0	0	2104399	2208795
73621	0	0	2209019	2191776
74621	0	0	2298536	2168860
75621	0	0	2157670	2272553
76621	0	0	2257218	2383467
77621	0	0	2372064	2478701
78621	0	0	2471464	2597660
79621	0	0	2588946	2705327
80621	0	0	2687651	2813920
81621	0	0	2793641	2923354
82621	0	0	2896840	2616004
83623	0	0	2997140	2305966
84621	0	0	2281448	2420257
85621	0	0	2384316	2517429
86621	0	0	2487037	2628035
87621	0	0	2594352	2737301
88621	0	0	2690926	2827572
89621	0	0	2786927	2947845
90621	0	0	2896887	3045635
91621	0	0	2994169	2736992
92621	0	0	3094411	2428909
93621	0	0	2376048	2525448
94621	0	0	2474415	2625865
95621	0	0	2572394	2475225
96621	0	0	2545133	2574750
97621	0	0	2508473	2679184
98621	0	0	2617772	2791881
99621	0	0	2724844	2910948
100621	0	0	2832941	3037589
101621	0	0	2955252	3158245
102621	0	0	3074841	3271191
103621	0	0	3192750	2571847
104621	0	0	3306176	2677712
105621	0	0	2596821	2787061
106621	0	0	2718331	2910819
107621	0	0	2831658	3022017
108621	0	0	2933466	3127195
109621	0	0	3058369	3235046
110621	0	0	3156741	3337301
111621	0	0	3265030	3433972
112621	0	0	3375350	2729779
113621	0	0	3075407	2846984
114621	0	0	2774923	2942009
115621	0	0	2878723	2780896
116621	0	0	2977611	2905614
117621	0	0	2837690	3008648
118621	0	0	2934777	3132446
119621	0	0	3041361	3222095
120621	0	0	3155032	3344238
121621	0	0	3245148	3438356
122621	0	0	3349412	3537248
123621	0	0	3455433	3630170
124621	0	0	3581994	2894738
125621	0	0	3673801	3013649
126621	0	0	2946617	3106430
127621	0	0	3051145	3216161
128621	0	0	3152753	3330322
129621	0	0	3246980	3441764
130621	0	0	3343197	3537917
131621	0	0	3456102	3646241
132621	0	0	3546023	3744022
133621	0	0	3636593	3425145
134621	0	0	3729424	3108144
135621	0	0	3420271	3220008
136621	0	0	3104411	3194434
137621	0	0	3217268	3212617
138621	0	0	3306689	3345476
139621	0	0	3224197	3407426
140621	0	0	3215836	3514615
141621	0	0	3306902	3612212
142621	0	0	3404159	3703563
143621	0	0	3500006	3797169
