t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
152	0	0	100001	100001
1152	0	0	100001	100001
2152	0	0	100002	100002
3152	0	0	192679	192249
4152	0	0	299353	302794
5152	0	0	401241	398047
6152	0	0	522142	506395
7152	0	0	644341	621999
8152	0	0	758761	740672
9152	0	0	571402	578594
10152	0	0	403630	409282
11152	0	0	559222	529832
12152	0	0	684817	668659
13152	0	0	802075	794337
14152	0	0	922240	904631
15152	0	0	1022333	1024986
16152	0	0	1168456	1166436
17152	0	0	770975	334234
18152	0	0	524341	510591
19152	0	0	680684	685182
20152	0	0	815939	835253
21152	0	0	990492	979805
22152	0	0	1125640	1131555
23152	0	0	1285683	1271836
24152	0	0	558097	1004291
25152	0	0	715056	701274
26152	0	0	859283	869046
27152	0	0	1018900	1009860
28152	0	0	1175391	1174251
29152	0	0	1321563	1319718
30152	0	0	1484554	1011986
31152	0	0	631118	631234
