mode	iter	jmh_score_ops_per_sec	e2e_throughput_ops_per_sec	bp_wait_ms	bp_lag_at_end	measurement_records	elapsed_ms
BASELINE	warmup	29802.233	25810.86	13006	-12058	598000	23168
BASELINE	1	31482.026	29934.08	46319	-38033	1889000	63105
BASELINE	2	32164.527	29194.86	46936	-38862	1930000	66107
BASELINE	3	28890.544	26245.88	48470	-35264	1750000	66677
MERGE_OPERAND_SWEPT	warmup	101624.188	94522.33	1389	-46680	2033000	21508
MERGE_OPERAND_SWEPT	1	137739.859	130965.50	3727	-165552	8265000	63108
MERGE_OPERAND_SWEPT	2	109203.284	103833.36	14012	-131312	6553000	63110
MERGE_OPERAND_SWEPT	3	92719.028	88164.34	19596	-111654	5570000	63177
