mode	iter	jmh_score_ops_per_sec	e2e_throughput_ops_per_sec	bp_wait_ms	bp_lag_at_end	measurement_records	elapsed_ms
BASELINE	warmup	30959.274	28148.19	19498	-19384	962000	34176
BASELINE	1	31488.991	30457.37	137492	-114218	5674000	186293
BASELINE	2	31348.799	30322.26	136044	-113788	5652000	186397
BASELINE	3	31645.169	30609.15	139353	-114926	5709000	186512
MERGE_OPERAND_SWEPT	warmup	123081.107	117211.28	74	-73984	3693000	31507
MERGE_OPERAND_SWEPT	1	111331.366	107680.10	40115	-401540	20040000	186106
MERGE_OPERAND_SWEPT	2	72216.085	69847.90	83096	-260731	12999000	186104
MERGE_OPERAND_SWEPT	3	34593.977	32929.58	134317	-125377	6231000	189221
