mode	jmh_score_ops_per_sec	e2e_throughput_ops_per_sec	bp_wait_ms	bp_lag_at_end	rocksdb_bytes_dc0	rocksdb_bytes_dc1	vt_check_mismatches	vt_check_missing	vt_check_errors	read_verify_dc0_ok	read_verify_dc1_ok	measurement_records	measurement_elapsed_ms
BASELINE	35095.455	26890.72	14078	-14140	300718163	300717295	0	0	0	1000	1000	702000	26105
MERGE_OPERAND_SWEPT	128871.610	119869.68	271	-51648	233430877	233429745	0	0	0	1000	1000	2578000	21506
