t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
32	0	0	100001	100001
1032	0	0	100001	100001
2032	0	0	100002	100002
3032	0	0	159074	155855
4032	0	0	283570	284301
5032	0	0	381846	383072
6032	0	0	507551	505062
7032	0	0	604547	611395
8032	0	0	718215	728087
9032	0	0	833614	536330
10032	0	0	309833	316865
11032	0	0	417983	431522
12032	0	0	533242	561134
13032	0	0	651598	686214
14032	0	0	772373	816540
15032	0	0	892467	934675
16032	0	0	1001984	1052552
17032	0	0	1115999	1162718
18032	0	0	777959	805692
19032	0	0	442026	454927
20032	0	0	542033	556906
21032	0	0	646621	664577
22032	0	0	748455	765318
23032	0	0	843702	869888
24032	0	0	944361	971905
25032	0	0	1038300	1071304
26032	0	0	1130421	1164169
27032	0	0	1224052	1256043
28032	0	0	877559	918197
29032	0	0	523956	993447
30032	0	0	611629	649998
31032	0	0	702889	745010
32032	0	0	761490	761349
33032	0	0	761490	761349
