t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
671	0	0	1723557	1721800
1671	0	0	1392157	1395159
2671	0	0	1472083	1475853
3671	0	0	1139521	1557143
4671	0	0	1215351	1229804
5671	0	0	1286969	1297457
6671	0	0	1351891	1362655
7671	0	0	1424925	1429812
8671	0	0	1489784	1492261
9671	0	0	1552004	1556657
10671	0	0	1619984	1626187
11671	0	0	1673864	1673317
12671	0	0	1343377	1342865
13671	0	0	1357919	1364379
14671	0	0	1382925	1387194
15671	0	0	1159465	1162401
16671	0	0	1175309	1164003
17671	0	0	1178696	1188340
18671	0	0	1199897	1208729
19671	0	0	1201753	1214466
20671	0	0	1205396	1209461
21671	0	0	1232236	1262437
22671	0	0	1284458	1311162
23671	0	0	1345248	1395050
24671	0	0	1476169	1515304
25671	0	0	1597765	1628152
26671	0	0	1557359	1581137
27671	0	0	1672822	1700026
28671	0	0	1535024	1576081
29671	0	0	1646930	1681055
30671	0	0	1757048	1790001
31671	0	0	1859811	1896092
32671	0	0	1961230	1986824
33671	0	0	2047604	2090726
34671	0	0	2141409	2188375
35671	0	0	1817891	1874592
36671	0	0	1909802	1983297
37671	0	0	2007777	1656265
38671	0	0	1689977	1759289
39671	0	0	1783669	1847365
40671	0	0	1870121	1936833
41671	0	0	1957665	2030495
42671	0	0	2048571	2119911
43671	0	0	2135586	2212241
44671	0	0	2221427	2289153
45671	0	0	1888356	1964897
46671	0	0	1977407	2046949
47671	0	0	2057458	2134555
48671	0	0	1731300	1799487
49671	0	0	1813659	1745857
50671	0	0	1760450	1829635
51671	0	0	1838633	1908399
52671	0	0	1914716	1851778
53671	0	0	1854962	1924480
54671	0	0	1925723	1998668
55671	0	0	1997037	2069771
56671	0	0	2065349	2143870
57671	0	0	2133404	2217787
58671	0	0	2206405	2292927
59671	0	0	2283470	2358990
60671	0	0	2353226	2428931
61671	0	0	2420465	2501456
62671	0	0	2490156	2149575
63671	0	0	2145473	2218680
64671	0	0	2213711	2289228
65671	0	0	2281183	2348673
66671	0	0	2344995	2008732
67671	0	0	1998877	2078190
68671	0	0	2059637	2144340
69671	0	0	2127282	2212304
70671	0	0	2193344	2279279
71671	0	0	2256121	2347038
72671	0	0	2312530	2410854
73671	0	0	2374944	2478232
74671	0	0	2430923	2544500
75671	0	0	2498230	2606061
76671	0	0	2558210	2253646
77671	0	0	2615455	2317662
78671	0	0	2260575	2381040
79671	0	0	2319054	2442643
80671	0	0	2378678	2087247
81671	0	0	2437649	2146765
82671	0	0	2084409	2061261
83671	0	0	2140471	2114803
84671	0	0	2056842	2169747
85671	0	0	2112929	2234157
86671	0	0	2161343	2293131
87671	0	0	2227432	2218173
88671	0	0	2279382	2264141
89671	0	0	2205785	2310370
90671	0	0	2257567	2352932
91671	0	0	2310575	2397136
92671	0	0	2356213	2443402
93671	0	0	2410609	2492239
94671	0	0	2469755	2530952
95671	0	0	2516872	2572359
96671	0	0	2571312	2616674
97671	0	0	2628287	2652951
98671	0	0	2681026	2697106
99671	0	0	2727539	2736456
100671	0	0	2778330	2780674
101671	0	0	2833299	2821936
102671	0	0	2474601	2453803
103671	0	0	2525023	2497777
104671	0	0	2575453	2538701
105671	0	0	2629664	2578530
106671	0	0	2678098	2620342
107671	0	0	2314838	2661119
108671	0	0	2368978	2286696
109671	0	0	2417299	2328994
110671	0	0	2463472	2372654
111671	0	0	2515221	2412435
112671	0	0	2556843	2450994
113671	0	0	2578423	2490853
114671	0	0	2597958	2528719
115671	0	0	2497008	2566761
116671	0	0	2282634	2584600
117671	0	0	2304267	2604132
118671	0	0	2327179	2501443
119671	0	0	2348737	2284721
120671	0	0	2357667	2308102
121671	0	0	2366205	2327984
122671	0	0	2397466	2350555
123671	0	0	2423013	2352745
124671	0	0	2470611	2379310
125671	0	0	2474415	2388597
126671	0	0	2547789	2411165
127671	0	0	2581834	2464413
128671	0	0	2621571	2481550
129671	0	0	2641207	2528826
130671	0	0	2731367	2565208
131671	0	0	2849152	2666138
132671	0	0	2700750	2773962
133671	0	0	2817638	2879226
134671	0	0	2933641	2745580
135671	0	0	2758781	2845690
136671	0	0	2841873	2944651
137671	0	0	2937071	2746550
138671	0	0	3024900	2841059
139671	0	0	3124780	2931950
140671	0	0	3216631	3026774
141671	0	0	3316384	3111682
142671	0	0	2988086	3200132
143671	0	0	3077421	3286867
144671	0	0	3160162	2956741
145671	0	0	2836252	3041124
146671	0	0	2929353	3126224
147671	0	0	3006205	3204856
148671	0	0	3078409	2874620
149671	0	0	3164150	2951502
150671	0	0	3255089	3030708
151671	0	0	3332670	3105973
152671	0	0	3400073	3184238
153671	0	0	3074027	3260640
154671	0	0	3143994	3335363
155671	0	0	3224736	3410571
156671	0	0	3292770	3071463
157671	0	0	2951339	3143270
158671	0	0	2900316	3213904
159671	0	0	2968412	3288787
160671	0	0	3047457	3357803
161671	0	0	3111334	2880344
162671	0	0	3055865	2945461
163671	0	0	3120767	3010781
164671	0	0	3193390	3074349
165671	0	0	3253897	3129552
166671	0	0	3311915	3061863
167671	0	0	3374121	3123078
168671	0	0	3431807	3179412
169671	0	0	3490691	3237918
170671	0	0	3547282	3294980
171671	0	0	3602830	3348527
172671	0	0	3661568	3401021
173671	0	0	3302514	3454186
174671	0	0	3356421	3508706
175671	0	0	3414890	3569599
176671	0	0	3442988	3624165
177671	0	0	3506532	3264181
178671	0	0	3562467	3321666
179671	0	0	3211759	3375841
180671	0	0	3270042	3434296
181671	0	0	3308217	3487753
182671	0	0	3308217	3543778
183671	0	0	3308217	3182373
184671	0	0	3308217	3228158
185671	0	0	3308217	3276231
186671	0	0	3308217	3308211
187671	0	0	3308217	3308211
188671	0	0	3308217	3308211
