t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
583	0	0	2254368	2252425
1583	0	0	2338091	2319877
2583	0	0	2422617	2388201
3583	0	0	2502361	2453495
4583	0	0	2150003	2109090
5583	0	0	2209844	2172778
6583	0	0	2272496	2236445
7583	0	0	2342124	2300037
8583	0	0	1998981	2362168
9583	0	0	2062171	2011085
10583	0	0	2119862	2074333
11583	0	0	2176779	2135111
12583	0	0	2244742	2196498
13583	0	0	2303936	2256433
14583	0	0	2372997	2316505
15583	0	0	2431050	2376722
16583	0	0	2488481	2436176
17583	0	0	2546282	2494967
18583	0	0	2610584	2552592
19583	0	0	2257634	2612652
20583	0	0	2318363	2255902
21583	0	0	2374623	2312678
22583	0	0	2433474	2369862
23583	0	0	2079453	2422906
24583	0	0	2134744	2480586
25583	0	0	2063830	2120137
26583	0	0	2118911	2044590
27583	0	0	2172764	2096500
28583	0	0	2225868	2148407
29583	0	0	2280116	2199957
30583	0	0	2202931	2252515
31583	0	0	2256044	2174956
32583	0	0	2307821	2224920
33583	0	0	2360216	2274370
34583	0	0	2410092	2323761
35583	0	0	2461450	2372020
36583	0	0	2510470	2421558
37583	0	0	2561622	2469581
38583	0	0	2610517	2517904
39583	0	0	2660377	2565332
40583	0	0	2707949	2611454
41583	0	0	2757222	2658808
42583	0	0	2803841	2705176
43583	0	0	2851538	2751015
44583	0	0	2484343	2798914
45583	0	0	2534283	2846458
46583	0	0	2580927	2482282
47583	0	0	2631730	2529157
48583	0	0	2678645	2576017
49583	0	0	2313713	2621737
50583	0	0	2359598	2666471
51583	0	0	2405244	2298239
52583	0	0	2452103	2344513
53583	0	0	2497713	2389606
54583	0	0	2545725	2434399
55583	0	0	2582628	2478846
56583	0	0	2605955	2523836
57583	0	0	2385808	2570009
58583	0	0	2412886	2595267
59583	0	0	2314399	2620220
60583	0	0	2331490	2271169
61583	0	0	2340798	2295485
62583	0	0	2359719	2317925
63583	0	0	2394383	2343549
64583	0	0	2403602	2368654
65583	0	0	2431584	2357205
66583	0	0	2463402	2383483
67583	0	0	2553505	2410596
68583	0	0	2573364	2443711
69583	0	0	2595003	2468097
70583	0	0	2570015	2566884
71583	0	0	2693659	2598496
72583	0	0	2797343	2705433
73583	0	0	2907249	2818516
74583	0	0	2777492	2925145
75583	0	0	2885737	2794197
76583	0	0	2983651	2894835
77583	0	0	2796168	2706135
78583	0	0	2905918	2803217
79583	0	0	2994177	2894222
80583	0	0	3095700	2993377
81583	0	0	3192542	3091017
82583	0	0	3296652	3180644
83583	0	0	2982676	3272578
84583	0	0	3064811	3363529
85583	0	0	3159734	3038554
86583	0	0	2830798	3125194
87583	0	0	2920707	2798134
88583	0	0	3009127	2882587
89583	0	0	3103615	2967078
90583	0	0	3182197	3045353
91583	0	0	3264573	3124021
92583	0	0	3333802	3204935
93583	0	0	3424951	3286483
94583	0	0	3088675	3360699
95583	0	0	3170673	3432806
96583	0	0	3239560	3100262
97583	0	0	3319721	3173730
98583	0	0	2986586	3245838
99583	0	0	2930723	3318134
100583	0	0	2993115	2975252
101583	0	0	3057323	2908248
102583	0	0	3129202	2977200
103583	0	0	3064052	3042808
104583	0	0	3141757	3104803
105583	0	0	3207253	3042281
106583	0	0	3265578	3104972
107583	0	0	3334222	3167905
108583	0	0	3392818	3229974
109583	0	0	3456623	3292742
110583	0	0	3524454	3355134
111583	0	0	3582668	3418711
112583	0	0	3646372	3476617
113583	0	0	3292791	3537169
114583	0	0	3359529	3597066
115583	0	0	3424775	3662133
116583	0	0	3480891	3311430
117583	0	0	3555742	3371004
118583	0	0	3201741	3433019
119583	0	0	3256117	3492082
120583	0	0	3321720	3547108
121583	0	0	3376267	3190397
122583	0	0	3432569	3245805
123583	0	0	3490580	3301004
124583	0	0	3547822	3356450
125583	0	0	3602317	3412088
126583	0	0	3658824	3466413
127583	0	0	3714643	3523632
128583	0	0	3771480	3580421
129583	0	0	3418773	3635110
130583	0	0	3474539	3690691
131583	0	0	3531884	3745796
132583	0	0	3587880	3387952
133583	0	0	3643096	3439537
134583	0	0	3698089	3492324
135583	0	0	3336837	3545064
136583	0	0	3259047	3598721
137583	0	0	3314430	3650078
138583	0	0	3368265	3703058
139583	0	0	3422354	3211542
140583	0	0	3475849	3262701
141583	0	0	3396441	3312710
142583	0	0	3450281	3364295
143583	0	0	3502504	3414160
144583	0	0	3553823	3463357
145583	0	0	3605026	3513294
146583	0	0	3655271	3428889
147583	0	0	3701141	3476429
148583	0	0	3749934	3524271
149583	0	0	3798838	3572462
150583	0	0	3848509	3620062
151583	0	0	3896084	3667103
152583	0	0	3944432	3715105
153583	0	0	3993296	3760376
154583	0	0	3627146	3806403
155583	0	0	3674001	3853138
156583	0	0	3720646	3900568
157583	0	0	3769643	3946175
158583	0	0	3816445	3991809
159583	0	0	3862211	4037662
160583	0	0	3909907	3683079
161583	0	0	3928424	3738445
162583	0	0	3550097	3795359
163583	0	0	3580636	3848403
164583	0	0	3462253	3905335
165583	0	0	3493241	3529660
166583	0	0	3515024	3561572
167583	0	0	3509978	3587834
168609	0	0	3516054	3617509
169583	0	0	3536387	3490034
170583	0	0	3562395	3492740
171583	0	0	3591505	3518385
172583	0	0	3588064	3543028
173583	0	0	3615023	3547579
174583	0	0	3725626	3552009
175583	0	0	3821845	3577955
176583	0	0	3850438	3680896
177583	0	0	3969916	3777527
178583	0	0	3898992	3906369
179583	0	0	4007947	3835925
180583	0	0	4124461	3963079
181583	0	0	3886776	4084559
182583	0	0	3886776	3886763
