t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
788	0	0	2513219	2515093
1788	0	0	2617371	2623739
2788	0	0	2728881	2759063
3788	0	0	2835460	2873687
4788	0	0	2935285	2971578
5788	0	0	3035517	3078745
6788	0	0	3136079	3174541
7788	0	0	3230248	3274442
8788	0	0	3324692	3360844
9788	0	0	2586090	2641777
10788	0	0	2672755	2717541
11788	0	0	2757794	2809791
12788	0	0	2841675	2894950
13788	0	0	2923074	2976710
14788	0	0	3007767	3055747
15788	0	0	3087677	3147089
16788	0	0	3170376	3233486
17788	0	0	3247184	3317230
18788	0	0	3326687	3398313
19788	0	0	3407455	3067155
20788	0	0	3074860	2721550
21788	0	0	2737090	2799507
22788	0	0	2810322	2829143
23788	0	0	2838458	2920703
24788	0	0	2902463	2852660
25788	0	0	2832499	2912667
26788	0	0	2894593	2978649
27788	0	0	2953653	3035038
28788	0	0	3015957	3103223
29788	0	0	3076687	3158018
30788	0	0	3139626	3215843
31788	0	0	3202013	3284895
32788	0	0	3263368	3344939
33788	0	0	3325475	3419125
34788	0	0	3384747	3480820
35788	0	0	3446060	3537175
36788	0	0	3507853	3602967
37788	0	0	3568970	3246169
38788	0	0	3627506	3304992
39788	0	0	3273965	2956656
40788	0	0	2912187	3014503
41788	0	0	2970774	3073413
42788	0	0	3023507	3129292
43788	0	0	3075471	3181181
44788	0	0	3133170	3235483
45788	0	0	3190025	3293126
46788	0	0	3246159	3348378
47788	0	0	3299118	3409693
48788	0	0	3352581	3463125
49788	0	0	3404987	3515404
50788	0	0	3456754	3566218
51788	0	0	3514007	3621444
52788	0	0	3569631	3677710
53788	0	0	3623232	3327451
54788	0	0	3677544	3380169
55788	0	0	3728357	3435651
56788	0	0	3369658	3076096
57788	0	0	3422664	3128828
58788	0	0	3060814	3183656
59788	0	0	3111624	3240067
60788	0	0	3163466	3156098
61788	0	0	3215714	3216484
62788	0	0	3261234	3239527
63788	0	0	3182483	3299093
64788	0	0	3230466	3226835
65788	0	0	3274499	3278179
66788	0	0	3190032	3333451
67788	0	0	3230021	3379341
68788	0	0	3273286	3425253
69788	0	0	3319241	3459820
70788	0	0	3363791	3514720
71788	0	0	3411515	3558497
72788	0	0	3455621	3603429
73788	0	0	3501920	3649542
74788	0	0	3545865	3693444
75788	0	0	3592251	3735333
76788	0	0	3637762	3735334
77788	0	0	3675629	3771879
78788	0	0	3719544	3820334
79788	0	0	3761373	3869937
80788	0	0	3805668	3925854
81788	0	0	3850589	3570093
82788	0	0	3483602	3621093
83788	0	0	3526425	3678492
84788	0	0	3567201	3316278
85788	0	0	3607424	3358446
86788	0	0	3650759	3398121
87788	0	0	3692341	3441983
88788	0	0	3736585	3484033
89788	0	0	3365762	3529261
90788	0	0	3408867	3571249
91788	0	0	3449069	3617216
92788	0	0	3490149	3659172
93788	0	0	3529958	3698586
94788	0	0	3571194	3741792
95788	0	0	3610441	3781065
96788	0	0	3652299	3823766
97788	0	0	3693674	3864119
98788	0	0	3732104	3905186
99788	0	0	3773594	3948304
100788	0	0	3813170	3987834
101788	0	0	3851168	4028839
102788	0	0	3891398	3654087
103788	0	0	3930070	3689737
104788	0	0	3967688	3380143
105788	0	0	3599858	3411801
106788	0	0	3627050	3432993
107788	0	0	3662532	3415618
108788	0	0	3692733	3434693
109788	0	0	3705783	3458299
110788	0	0	3720798	3462469
111788	0	0	3720084	3465003
112788	0	0	3396864	3483111
113788	0	0	3408406	3509470
114788	0	0	3420305	3501440
115788	0	0	3419923	3570291
116788	0	0	3445315	3667493
117788	0	0	3481490	3618722
118788	0	0	3509494	3661562
119788	0	0	3502574	3667682
120788	0	0	3514926	3674822
121788	0	0	3560382	3681962
122788	0	0	3572876	3723434
123788	0	0	3565206	3729902
124788	0	0	3612508	3762456
125788	0	0	3729600	3722724
126790	0	0	3846309	3846818
127788	0	0	3816664	3957860
128788	0	0	3913562	4069641
129788	0	0	4013470	4179650
130788	0	0	4117547	4277945
131788	0	0	4213217	4385420
132788	0	0	4308022	4068653
133788	0	0	3981022	4168106
134788	0	0	4070693	3832334
135788	0	0	4159828	3928504
136788	0	0	3836410	4009041
137788	0	0	3927974	4103165
138788	0	0	4015651	4191788
139788	0	0	4100257	4290836
140788	0	0	4178832	4363015
141788	0	0	4260143	4460062
142788	0	0	4338375	4530737
143788	0	0	4421905	4202456
144788	0	0	4506628	4287181
145788	0	0	4173003	3940753
146788	0	0	4249011	4025753
147788	0	1	4327565	3975594
148788	0	0	3986398	2374641
149788	1	0	3921835	2466833
150788	1	1	3998615	2400110
151788	0	0	2394444	783544
152788	1	0	2368150	896307
153788	1	0	2447572	981465
154788	0	0	879122	1075091
155788	0	0	1000465	1177749
156788	0	0	1126547	1290752
157788	0	0	1238701	993885
158788	0	0	1348447	1102525
159788	0	0	1048051	801484
160788	0	0	1153290	913821
161788	0	0	847063	1015856
162788	0	0	950067	1124780
163788	0	0	1063650	1233220
164789	0	0	1159206	1321373
165788	0	0	1255614	1417941
166788	0	0	1353404	1510770
167788	0	0	1449749	1204039
168788	0	0	1128451	1293997
169788	0	0	1217408	962906
170788	0	0	1312136	919129
171788	0	0	990610	993685
172788	0	0	943152	1079165
173788	0	0	1019632	1160616
174788	0	0	1104394	1107754
175788	0	0	1049634	1166668
176788	0	0	1131655	1240784
177788	0	0	1210331	1319564
178788	0	0	1286152	1397666
179788	0	0	1363989	1474406
180788	0	0	1448145	1555654
181788	0	0	1522223	1639037
182788	0	0	1599050	1694324
183788	0	0	1671979	1706400
184788	0	0	1706403	1706400
185788	0	0	1706403	1706400
