t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
980	0	0	678292	679920
1980	0	0	765488	777574
2980	0	0	854299	866927
3980	0	0	943377	953099
4980	0	0	1021368	1027250
5980	0	0	1096809	1103510
6980	0	0	1172240	1177526
7980	0	0	1238262	1254250
8980	0	0	1304963	1337718
9980	0	0	1373032	1400027
10980	0	0	997917	1042521
11980	0	0	635892	677883
12980	0	0	709880	757796
13980	0	0	777239	815651
14980	0	0	848965	778582
15980	0	0	808109	743519
16980	0	0	761486	805537
17980	0	0	825887	875077
18980	0	0	893160	941665
19980	0	0	958222	1001381
20980	0	0	1018669	1070871
21980	0	0	1083038	1135493
22980	0	0	1141564	1202537
23980	0	0	1199487	1264663
24980	0	0	1264988	1332815
25980	0	0	1322357	1391910
26980	0	0	1385265	1450086
27980	0	0	1438705	1512702
28980	0	0	1492930	1572660
29980	0	0	1551997	1628734
30980	0	0	1609546	1248092
31980	0	0	1224613	865450
32980	0	0	1285414	924503
33980	0	0	910073	982077
34980	0	0	958963	1039616
35980	0	0	1018291	1100030
36980	0	0	1064542	1154031
37980	0	0	1113123	1208062
38980	0	0	1161776	1258280
39980	0	0	1207939	1305056
40980	0	0	1252691	1355381
41980	0	0	1302081	1401973
42980	0	0	1348214	1448862
43980	0	0	1398532	1498945
44980	0	0	1444608	1545364
45980	0	0	1493812	1596704
46980	0	0	1537793	1643954
47980	0	0	1584813	1693686
48980	0	0	1628551	1736977
49980	0	0	1671712	1348353
50980	0	0	1716081	1392837
51980	0	0	1326836	1002821
52980	0	0	1372964	1046298
53980	0	0	979797	1094369
54980	0	0	1026434	1135683
55980	0	0	1067978	1183535
56980	0	0	1110822	1119700
57980	0	0	1152764	1165046
58980	0	0	1194070	1101927
59980	0	0	1124693	1140288
60980	0	0	1168359	1172466
61980	0	0	1102901	1188249
62980	0	0	1141853	1211651
63980	0	0	1172109	1235342
64980	0	0	1196159	1173611
65980	0	0	1216248	1186120
66980	0	0	1236731	1208969
67980	0	0	1176988	1187168
68980	0	0	1147496	1205778
69980	0	0	1170061	1218324
70980	0	0	1189915	1251150
71980	0	0	1210417	1261005
72980	0	0	1218269	1303070
73980	0	0	1233755	1409535
74980	0	0	1266617	1443679
75980	0	0	1311773	1475799
76980	0	0	1432937	1537706
77980	0	0	1553880	1520868
78980	0	0	1532807	1463251
79980	0	0	1459999	1566929
80980	0	0	1560978	1682226
81980	0	0	1668171	1772922
82980	0	0	1764648	1874294
83980	0	0	1858119	1978032
84980	0	0	1959220	2078727
85980	0	0	2061562	2180908
86980	0	0	2153440	1844680
87980	0	0	2250029	1934533
88980	0	0	1904566	1602552
89980	0	0	1556460	1689373
90980	0	0	1645748	1780736
91980	0	0	1731051	1868481
92980	0	0	1817285	1955883
93980	0	0	1898565	1741750
94980	0	0	1984027	1848832
95980	0	0	1788014	1653389
96980	0	0	1594441	1749786
97980	0	0	1664375	1814247
98980	0	0	1741035	1888013
99980	0	0	1816479	1962546
100980	0	0	1890161	2051317
101980	0	0	1965390	2114951
102980	0	0	2034758	2198169
103980	0	0	2108354	2271337
104980	0	0	2179284	2338844
105980	0	0	2249046	2412724
106980	0	0	2319490	2477886
107980	0	0	2389434	2118490
108980	0	0	2460122	1749272
109980	0	0	2092032	1815769
110980	0	0	1724746	1893081
111980	0	0	1790381	1966263
112980	0	0	1857667	2033036
