t_ms_since_iter_start	dc0_running_compactions	dc1_running_compactions	dc0_estimate_keys	dc1_estimate_keys
749	0	0	3500025	3507930
1748	0	0	3574241	3598749
2748	0	0	3245969	3274084
3748	0	0	3332050	3360505
4748	0	0	2999309	3026800
5748	0	0	3079140	3109324
6748	0	0	3155852	3188532
7748	0	0	3231772	3269663
8748	0	0	3310030	3348400
9748	0	0	3386256	3427593
10748	0	0	3460486	3502077
11748	0	0	3539561	3564781
12748	0	0	3609919	3634928
13748	0	0	3681922	3708127
14748	0	0	3339716	3368941
15748	0	0	3408358	3444750
16748	0	0	3478834	3101499
17748	0	0	3130436	3177924
18748	0	0	3199703	3119922
19748	0	0	3135774	3190374
20748	0	0	3201896	3254496
21748	0	0	3268614	3192741
22748	0	0	3207130	3260122
23748	0	0	3275749	3327989
24748	0	0	3343141	3395480
25748	0	0	3408409	3459478
26748	0	0	3473025	3522548
27748	0	0	3536979	3587740
28748	0	0	3599779	3649699
29748	0	0	3663861	3710069
30748	0	0	3725910	3774773
31748	0	0	3783635	3836371
32749	0	0	3846397	3896697
33748	0	0	3903734	3544771
34748	0	0	3550718	3608365
35748	0	0	3611092	3671710
36748	0	0	3670496	3317093
37748	0	0	3732330	3380104
38748	0	0	3375780	3440847
39748	0	0	3435306	3496129
40748	0	0	3496006	3555271
41748	0	0	3553398	3613694
42748	0	0	3612503	3670500
43748	0	0	3671145	3727357
44748	0	0	3727194	3782653
45748	0	0	3785307	3843075
46748	0	0	3839896	3903801
47748	0	0	3900066	3958928
48748	0	0	3959402	4011629
49748	0	0	4011851	4057733
50748	0	0	3652917	3688244
51748	0	0	3686636	3379643
52748	0	0	3378014	3405664
53748	0	0	3405303	3430786
54748	0	0	3417703	3424468
55748	0	0	3400344	3440662
56748	0	0	3426968	3444912
57748	0	0	3450648	3466384
58748	0	0	3470871	3490286
59748	0	0	3454891	3493394
60748	0	0	3476903	3494708
61748	0	0	3501304	3608202
62748	0	0	3515659	3667709
63748	0	0	3536049	3677411
64748	0	0	3616555	3654332
65748	0	0	3672617	3765995
66748	0	0	3800045	3732652
67748	0	0	3784261	3826329
68748	0	0	3883376	3876685
69748	0	0	3994911	3996734
70748	0	0	4109737	4116507
71748	0	0	4207729	4199125
72748	0	0	4330003	4316447
73748	0	0	4038063	4024838
74748	0	0	4152895	4139402
75748	0	0	4260672	4254722
76748	0	0	3960378	3970092
77748	0	0	4048029	4087007
78748	0	0	4143802	4202540
79748	0	0	4243215	4311618
80748	0	0	4336104	4416966
81748	0	0	4445900	4097480
82748	0	0	4107925	4124359
83748	0	0	4168366	4168311
84748	0	0	4273269	4278479
85748	0	0	3958267	3967844
86748	0	0	4054061	4069795
87748	1	1	4006981	4024458
88748	0	0	2407048	2444250
89748	1	1	2372054	2418232
90748	0	0	789528	856539
91748	0	0	908257	988585
92748	0	0	1033569	1097391
93748	0	0	1153451	1206396
94748	0	0	1262721	1305752
95748	0	0	1373277	999151
96748	0	0	1068109	1102336
97748	0	0	1186306	788354
98748	0	0	891892	887129
99748	0	0	998593	980482
100748	0	0	1113106	1078843
101748	0	0	1227130	1171234
102748	0	0	1334335	1260486
103748	0	0	1442748	1354399
104748	0	0	1135480	1447255
105748	0	0	1234790	1534964
106748	0	0	925638	1211524
107749	0	0	1024032	886550
108748	0	0	973668	969962
109748	0	0	1074018	1059178
110748	0	0	1025718	1005431
111748	0	0	1121299	1087017
